C 5F F9 C4 80 0
C 60 BC 8E 0 0
C 61 BA C8 80 0
4 62 4F 76 0 0
4 63 3B B5 0 0
4 63 40 D1 80 0
4 63 65 A0 0 0
4 63 C1 2D 80 0
4 63 C4 C1 80 0
4 64 71 8A 80 0
4 65 C 1C 0 0
C 65 81 6F 80 0
C 65 88 35 0 0
4 65 E4 A7 80 0
4 65 EF 65 80 0
4 66 4 40 80 0
C 66 31 B6 0 0
4 66 74 E5 0 0
4 66 99 7C 0 0
4 66 C6 27 0 0
4 67 78 2 80 0
4 68 67 1A 0 0
4 68 8C 71 80 0
4 68 B7 1B 80 0
4 68 FF 6 0 0
C 6A 2D 23 80 0
4 6A E3 A7 0 0
C 6A F1 7C 0 0
4 6B 27 F1 0 0
4 6B 46 80 0 0
4 6B A9 9B 80 0
C 6B EF 6 0 0
4 6C D0 63 0 0
4 6D AF A5 80 0
4 6D DF 13 0 0
4 6E 3D 7B 80 0
C 6F 35 40 0 0
C 70 1E 7B 80 0
4 70 34 42 0 0
4 70 52 C8 0 0
4 70 87 AD 80 0
C 70 8F 64 0 0
4 71 4F 5B 0 0
C 71 5B A8 80 0
4 71 D6 A5 80 0
4 71 DA E8 80 0
4 72 93 AF 0 0
C 72 9C 53 0 0
4 74 79 12 80 0
4 74 F5 6F 80 0
4 75 12 83 80 0
4 75 25 CF 80 0
4 76 2D 9B 0 0
4 77 72 45 80 0
4 77 A4 DC 0 0
4 77 A5 A7 0 0
4 78 25 D5 80 0
4 78 7A FA 0 0
4 78 C9 2E 80 0
C 78 D9 BB 0 0
C 7A 32 EB 80 0
4 7A 79 A2 0 0
4 7A 9F 7F 0 0
C 7C 17 72 0 0
4 7C 48 F9 0 0
4 7C 89 C0 80 0
4 7D F7 E7 80 0
C 7F 39 51 0 0
4 7F 59 59 0 0
4 7F AB 2C 0 0
4 80 A5 56 80 0
4 80 B6 EB 80 0
4 80 F9 FD 80 0
C 81 AF 3E 0 0
C 81 D2 E8 80 0
4 81 E4 C5 80 0
4 82 D5 40 80 0
C 83 D9 EA 0 0
4 85 57 93 80 0
4 85 FF 11 0 0
4 86 21 1F 80 0
C 86 49 56 0 0
C 86 87 82 80 0
4 86 90 40 80 0
4 86 AE D8 80 0
4 87 5B 85 80 0
C 87 C5 CB 0 0
4 87 C6 CB 0 0
4 88 47 45 80 0
C 88 57 92 80 0
4 88 80 91 0 0
C 88 AD CC 0 0
C 8A 85 B9 80 0
C 8A E1 C3 80 0
C 8B 29 1C 80 0
4 8C 0 94 80 0
4 8C 60 11 80 0
4 8D 2A 8F 80 0
C 8E 11 82 0 0
C 8E 2B 80 0 0
4 8E D0 3A 80 0
4 8F 61 7A 0 0
4 90 4B 98 0 0
C 90 69 5B 80 0
C 90 75 4 80 0
C 90 B0 B6 80 0
4 91 1B F9 0 0
4 92 CC EC 0 0
4 93 D2 9A 80 0
4 93 F7 45 0 0
4 94 19 75 80 0
4 94 30 1C 0 0
4 94 4B CF 0 0
C 95 41 A7 80 0
4 95 8C 39 80 0
C 95 B2 73 80 0
C 95 D1 6D 80 0
4 96 2 E6 80 0
4 96 4E 37 0 0
C 96 4E 9F 0 0
4 96 6E 66 0 0
C 97 71 40 0 0
4 98 7 9E 80 0
C 98 6F 70 0 0
4 99 2A D1 80 0
4 99 FE 48 80 0
C 9B 59 7A 0 0
4 9B BE 63 80 0
C 9C 4D 41 80 0
4 9C CF 62 80 0
C 9C F0 90 80 0
C 9D 4F 89 0 0
C 9E 13 26 0 0
4 9E 30 74 0 0
C A0 96 A9 0 0
4 A0 B6 78 0 0
C A0 D7 40 0 0
C A1 3E A9 80 0
C A2 54 14 0 0
4 A2 A1 A6 0 0
4 A3 5C 19 80 0
4 A3 A1 76 80 0
4 A3 D0 8 80 0
C A4 79 89 0 0
C A5 39 EB 0 0
4 A5 C1 66 0 0
C A5 F1 B9 0 0
4 A6 19 12 80 0
4 A6 A6 32 0 0
4 A6 F2 D7 0 0
4 A6 F7 78 0 0
4 A7 6B 68 80 0
4 A8 2E 30 0 0
C A8 5B 93 0 0
C A9 8F 1B 0 0
C AA 5 4D 0 0
C AA 39 6D 80 0
4 AA 8B 44 80 0
1C AA 9E BE 80 0
C AB 61 72 0 0
4 AB 6F D9 0 0
C AB 74 21 80 0
C AB F3 9B 80 0
4 AC 62 FE 0 0
4 AC 74 B5 0 0
4 AC D6 F4 0 0
C AD A3 AD 80 0
1C AD BA 80 80 0
C AD DB 35 80 0
C AD F8 E0 80 0
C AE 2C 23 0 0
4 AE 4D F5 80 0
4 AE BC 81 80 0
4 AE C4 9 0 0
C AF 20 15 80 0
C AF A9 9B 0 0
4 AF BD FC 0 0
4 B0 21 71 0 0
4 B0 28 F8 0 0
C B1 48 32 0 0
4 B1 6F 98 0 0
C B1 DF EB 0 0
4 B2 7C C1 0 0
C B2 B8 51 0 0
4 B2 E9 F1 0 0
C B3 70 B6 80 0
4 B3 B0 1F 80 0
C B3 F2 A6 80 0
4 B4 45 5E 0 0
C B5 6A AE 80 0
C B6 33 AF 80 0
4 B6 3B 8C 80 0
4 B6 76 8F 0 0
C B6 85 DA 80 0
4 B7 31 B3 0 0
C B7 AE 90 80 0
4 B7 FA 31 80 0
4 B8 38 9B 80 0
4 B8 39 BC 0 0
4 B8 71 6A 80 0
4 B8 C1 6D 80 0
4 B9 8 43 0 0
C B9 21 68 0 0
4 B9 6D 18 80 0
C B9 77 95 0 0
4 BA 14 C7 80 0
4 BA 16 C7 0 0
4 BA 6D 53 0 0
C BA A4 AE 0 0
4 BC AF D2 80 0
4 BC E9 74 80 0
C BD 0 1C 0 0
1C BD 33 7D 80 0
C BD B5 C5 0 0
C BE 8F 6 80 0
C BF D 63 0 0
4 BF 25 AC 80 0
1C BF 43 EB 0 0
C C0 52 89 80 0
C C1 75 48 0 0
4 C1 FC D5 80 0
C C2 7 15 0 0
4 C2 B 7F 0 0
C C2 50 D 0 0
C C3 2C 4E 0 0
C C3 B4 11 80 0
4 C3 C1 52 80 0
C C4 B6 47 80 0
C C4 C4 A6 80 0
C C5 4D A5 80 0
4 C6 34 9C 80 0
4 C6 6C 15 80 0
C C6 B7 4 80 0
4 C7 8C AD 80 0
4 C7 B8 35 80 0
4 C7 D7 60 0 0
4 C8 68 C0 80 0
C C8 7C D8 0 0
C C8 B0 1A 80 0
4 C8 E2 A9 0 0
4 C9 F3 BB 80 0
4 CA 69 5A 0 0
4 CA 6E 1 80 0
C CA 76 C8 80 0
C CB 2C E6 0 0
4 CB 94 E1 80 0
4 CD 35 2E 80 0
4 CD 85 88 80 0
4 CD F1 5B 0 0
C CE CB 45 0 0
C CE CB 8A 0 0
C D0 EE 9A 0 0
C D1 D 9 80 0
C D1 E4 3D 80 0
4 D2 18 8B 0 0
4 D2 5D 10 80 0
4 D2 6F 42 80 0
4 D2 D0 A7 80 0
4 D3 3D E2 0 0
C D3 51 3E 80 0
4 D4 54 2 0 0
C D4 54 E3 80 0
C D5 6A 4 80 0
C D5 AA 3F 0 0
4 D5 F4 36 80 0
4 D5 F6 81 0 0
4 D6 57 55 0 0
4 D6 8C 93 80 0
4 D6 F1 C5 0 0
4 D7 8A E5 0 0
C D8 16 D6 0 0
C D8 1E 1 0 0
4 D8 35 3F 0 0
C D8 6D DF 80 0
4 D8 80 BD 0 0
4 D8 92 8E 0 0
C D8 AD 98 0 0
4 D9 5B 23 80 0
C D9 91 69 80 0
C D9 94 3 80 0
4 DA E 96 0 0
4 DA 1D 39 80 0
4 DA 25 E7 80 0
4 DB 89 9B 80 0
C DB F5 3 0 0
4 DC 7C A2 0 0
C DC B2 28 0 0
4 DC DE B8 80 0
4 DD 22 90 80 0
4 DD 74 B9 0 0
4 DE 66 57 0 0
4 DF 40 47 0 0
C DF E3 A3 0 0
C E0 2 14 0 0
4 E0 13 D1 80 0
4 E0 AA A8 0 0
4 E0 D6 20 80 0
4 E0 E9 2A 80 0
4 E1 5 E6 0 0
4 E1 A8 D1 0 0
C E1 B3 8 0 0
C E1 CA 15 80 0
4 E1 DE 7F 80 0
C E1 DE BC 0 0
4 E1 EF CF 80 0
C E2 83 D6 80 0
4 E2 B3 4 0 0
4 E3 3D 6D 0 0
4 E3 6B 8 80 0
C E3 EC CC 80 0
4 E3 F4 BE 0 0
4 E4 36 37 0 0
C E4 3E 52 80 0
C E4 73 F0 80 0
4 E5 4A AD 80 0
C E6 23 F3 0 0
4 E6 94 8E 80 0
4 E6 A0 9D 0 0
C E7 9 DA 0 0
C E7 D 2C 0 0
C E7 14 44 80 0
C E7 5C 1C 0 0
4 E7 7F B6 80 0
4 E9 68 FF 80 0
4 E9 EA 18 0 0
4 EA 7 30 80 0
4 EA A1 40 80 0
4 EA BD D 80 0
C EA BD D4 0 0
4 EA DC D7 80 0
4 EB 11 49 0 0
4 EB 60 6 80 0
4 EB 8B 5F 0 0
4 EB D7 16 80 0
4 EC 0 17 80 0
C EC 51 1A 0 0
4 EE 4F 55 80 0
4 EE 92 5F 80 0
4 EF 16 F2 0 0
C EF 21 4F 80 0
4 EF 87 3D 80 0
C F0 1B 21 0 0
4 F0 61 B7 80 0
4 F0 A1 21 80 0
4 F0 C0 35 80 0
4 F1 17 19 80 0
C F1 57 6F 0 0
4 F1 D1 82 0 0
4 F1 EE 2 0 0
C F1 FE B6 0 0
4 F2 C2 89 0 0
4 F3 3C 8B 0 0
4 F3 E0 18 0 0
4 F4 53 CF 0 0
4 F4 80 9D 0 0
4 F4 AA 17 80 0
4 F5 2A D 80 0
C F5 39 BD 0 0
4 F5 61 6E 80 0
C F6 9 D1 80 0
C F6 87 F6 0 0
C F7 5F D6 0 0
4 F7 B6 70 80 0
4 F7 FB E 80 0
C F8 3A 1A 0 0
4 F8 F2 BE 80 0
C F9 62 53 0 0
C F9 CE F8 0 0
4 F9 DA 5 80 0
C FA DF 76 80 0
C FB 3B C9 80 0
4 FB 4C DD 80 0
4 FB 50 31 0 0
4 FB 7F 2 80 0
C FB 98 1D 0 0
4 FC 82 B2 0 0
4 FC CC 76 80 0
4 FD 87 BD 0 0
4 FD BB 5D 80 0
4 FD EC F8 0 0
4 FE 33 C3 0 0
4 FE ED 97 0 0
C FF 84 25 0 0
C FF 85 F8 80 0
C FF A3 6 0 0
4 FF E4 73 80 0
D 0 A1 E9 80 0
5 1 AF CD 0 0
D 2 57 5E 80 0
D 3 21 87 80 0
5 3 56 AB 80 0
5 3 C3 69 80 0
5 4 AE DC 0 0
D 5 39 FD 0 0
D 5 D5 81 0 0
5 6 3C D6 80 0
1D 6 71 27 0 0
D 7 1 6A 0 0
5 7 23 29 0 0
5 7 46 BF 0 0
5 7 47 7A 80 0
5 7 E2 E 0 0
D 8 38 F0 80 0
5 8 D4 B5 0 0
D A 38 F6 80 0
5 A 85 91 80 0
5 B CF D2 0 0
D C 3B C8 80 0
D C C3 D6 0 0
5 D 69 8 80 0
5 D 91 80 0 0
D D E0 4C 80 0
D D E9 DB 0 0
5 E 4D 7F 0 0
5 E 8B 7E 0 0
D E AE 7D 80 0
5 E BB DE 80 0
5 F 3F 41 0 0
5 F 9A A8 80 0
5 10 51 AF 0 0
5 11 23 93 80 0
5 11 F6 54 0 0
5 12 3B AD 0 0
5 12 58 8D 80 0
5 13 70 AC 0 0
5 14 76 3E 80 0
D 14 8C 8A 80 0
5 14 A1 46 80 0
5 15 11 32 80 0
5 15 4F FD 0 0
D 16 56 51 80 0
5 16 80 90 0 0
D 16 F5 10 0 0
5 17 7 96 0 0
D 17 36 FF 80 0
5 17 C9 E9 80 0
D 17 DC EC 0 0
D 18 3E 78 80 0
D 18 78 52 80 0
5 18 F1 56 80 0
D 19 39 7F 0 0
5 19 BD C6 80 0
D 1A B A4 80 0
D 1A 6F 59 80 0
D 1A E8 4D 80 0
5 1B 36 8 80 0
5 1B DA 1E 0 0
D 1C 56 EB 80 0
5 1D 53 C6 80 0
D 1D D7 FB 0 0
5 1E 15 98 80 0
5 1E 99 E5 80 0
5 1F AC F8 80 0
5 20 65 86 80 0
5 20 8C 3C 80 0
5 20 C3 D1 80 0
5 21 33 B4 80 0
5 21 38 E3 0 0
5 21 6F B2 0 0
5 21 7C 37 0 0
D 21 88 2F 0 0
D 21 AC 19 0 0
D 21 CB DC 80 0
5 23 1A 2B 0 0
5 23 2E BE 0 0
D 23 83 76 0 0
D 23 DB F0 80 0
5 24 83 60 0 0
5 25 22 1D 80 0
5 26 74 12 80 0
5 26 D8 32 0 0
5 27 7 9D 0 0
D 27 4E F6 0 0
5 27 53 D8 0 0
5 27 EB 4F 80 0
D 27 ED A9 0 0
D 27 FB 86 80 0
D 28 1C 46 80 0
5 28 20 94 0 0
5 28 5D 84 80 0
5 28 F2 3B 0 0
D 29 D2 30 0 0
5 2A A2 B6 0 0
D 2A A6 E9 0 0
D 2B 52 D5 80 0
5 2B C4 63 0 0
5 2C A6 A8 80 0
5 2C B9 65 0 0
5 2C D6 E4 0 0
D 2D 44 85 80 0
5 2D D9 8E 80 0
D 2E E5 98 0 0
5 2E EE 59 80 0
