4 4E 6B 39 0 0
C 4E 92 F5 0 0
4 4F 12 7C 0 0
4 4F 5B ED 0 0
4 4F 69 7A 0 0
C 4F B9 F0 80 0
C 50 DA 25 80 0
4 51 B C2 0 0
4 51 7F BC 80 0
C 52 26 FD 80 0
4 52 4A 39 80 0
C 52 52 2A 80 0
C 52 5F B8 0 0
4 52 7B A 0 0
C 52 93 64 80 0
4 52 F9 9B 0 0
C 53 23 36 80 0
4 53 40 B4 80 0
C 53 B6 77 0 0
C 53 E0 EA 80 0
4 54 5D 48 0 0
C 54 79 C0 80 0
4 55 1A F7 0 0
C 55 6E B1 0 0
4 55 B7 98 80 0
C 55 D5 B 80 0
4 55 E1 39 0 0
C 55 F0 3C 80 0
4 55 F8 D7 80 0
4 56 17 10 80 0
4 56 65 22 80 0
4 56 C8 74 80 0
4 56 D8 DD 0 0
4 57 B2 A6 0 0
4 59 32 EE 80 0
C 59 6B 69 0 0
4 59 7B BD 80 0
4 5A 9 F5 0 0
C 5A 26 71 80 0
4 5A 4E A2 80 0
C 5A 64 F5 80 0
4 5A A3 F1 0 0
4 5A C2 A2 80 0
4 5B 44 3F 0 0
4 5B 6A 94 80 0
4 5B 7B D6 0 0
4 5B BB E7 0 0
4 5C C6 7C 80 0
4 5C F9 97 80 0
4 5D 57 C9 80 0
C 5E 43 C7 0 0
C 5E C7 FD 0 0
C 5F 3 D8 80 0
C 5F E B2 0 0
4 5F 15 DD 0 0
4 5F 28 BA 0 0
C 5F 5A 23 0 0
4 5F B5 5A 80 0
4 60 DC 11 80 0
C 61 56 0 0 0
4 61 6B A0 80 0
C 61 D1 1A 0 0
C 62 6D 94 80 0
4 62 6E 84 0 0
C 62 A8 D7 80 0
4 63 41 AB 80 0
4 63 62 B8 80 0
4 63 AE 50 80 0
C 63 EE 22 80 0
C 64 D2 57 0 0
4 64 EB E7 80 0
C 65 1C 31 0 0
4 65 3F 98 0 0
C 65 54 EB 80 0
1C 65 F4 8D 0 0
4 66 75 AA 0 0
4 66 DD 79 0 0
4 67 A9 30 0 0
C 68 53 F1 80 0
4 68 65 9B 0 0
C 69 19 6B 0 0
C 69 2B 4E 0 0
4 69 8F BC 0 0
4 69 B7 7B 80 0
4 69 C1 35 0 0
C 6B 1F 7B 80 0
4 6B 74 89 0 0
4 6B 9D D8 80 0
4 6C 1C E2 0 0
4 6C 39 F0 0 0
C 6C 73 D 0 0
C 6C DD 20 0 0
4 6D 62 75 80 0
4 6D DE 8F 0 0
C 6E 3B 96 0 0
C 6F 65 B0 0 0
C 6F C9 D7 80 0
C 70 13 57 80 0
4 71 48 51 80 0
4 71 67 7F 0 0
4 71 6E 29 0 0
C 72 4 B6 0 0
C 72 4E 4B 0 0
4 73 B7 7D 80 0
4 74 62 18 80 0
4 75 4 29 0 0
4 75 26 D5 0 0
4 75 36 22 80 0
4 75 87 52 80 0
4 75 B8 FA 0 0
4 75 BD E 80 0
C 75 E6 2E 0 0
4 75 EA DA 0 0
4 76 26 A6 0 0
4 76 81 CF 0 0
4 76 A0 F6 80 0
4 76 A6 28 80 0
4 78 8 F2 80 0
1C 78 16 95 80 0
1C 78 4F D7 80 0
C 79 23 DD 80 0
C 79 E8 8D 0 0
C 7A 8D 24 0 0
4 7B 32 40 0 0
C 7B C0 4 0 0
4 7B D1 C5 0 0
4 7D 21 99 0 0
4 7D 3F 9A 0 0
4 7D 84 FE 80 0
C 7E 27 7F 80 0
4 7E 48 31 0 0
4 7E 96 96 80 0
4 7E FC 63 80 0
4 7F 37 E9 0 0
4 7F BD CD 0 0
4 7F F2 92 80 0
4 80 91 74 0 0
4 81 11 65 80 0
C 81 91 1 0 0
C 82 C5 F 80 0
C 82 D2 52 80 0
4 83 90 60 0 0
4 83 A1 31 80 0
4 85 49 35 0 0
4 85 93 F2 80 0
C 85 D6 E9 80 0
C 86 5D 19 80 0
C 86 A2 CA 0 0
C 86 E8 25 80 0
4 87 B8 0 0 0
C 87 C1 3 0 0
C 88 6 C1 80 0
C 88 A A7 0 0
4 88 33 75 80 0
C 89 5A 3D 80 0
4 8A 5C B9 80 0
4 8A 8D B7 0 0
4 8A AF 89 0 0
4 8A FA B 80 0
4 8C 32 77 80 0
4 8D 99 7 80 0
4 8D C3 DD 80 0
C 8E 3C E6 0 0
4 8E 3D 38 0 0
C 8E 4E 10 0 0
4 8E 9B 6 0 0
C 8E EC 8C 80 0
C 8F 47 7 0 0
C 90 A0 BF 80 0
4 91 66 F1 80 0
C 91 F1 AC 0 0
4 92 9B 6 0 0
C 93 59 EA 0 0
4 93 71 E0 80 0
C 93 7C 9B 0 0
C 93 7D 26 80 0
4 94 23 D2 0 0
C 94 92 6E 80 0
4 94 C0 BC 80 0
4 95 7 7D 80 0
C 95 65 2F 0 0
C 95 8F 9E 80 0
4 96 38 DC 0 0
C 96 3F 4A 80 0
4 97 AB D1 80 0
C 97 CD 57 0 0
4 98 7 D4 0 0
4 98 69 A 0 0
4 98 F4 30 80 0
4 99 1 D1 0 0
C 99 1B C5 0 0
4 99 27 E7 80 0
C 99 55 8B 0 0
C 9B 28 B8 80 0
4 9B 55 86 0 0
4 9B 5E 95 80 0
4 9B 65 E7 0 0
4 9B 69 5A 80 0
4 9B F9 BC 0 0
4 9C 35 5F 0 0
4 9D D8 3E 80 0
C 9F 1D 4C 80 0
4 9F 3A 56 80 0
4 9F 9C D4 0 0
4 A0 6D 44 0 0
4 A0 79 E 0 0
C A1 56 1 80 0
4 A1 EB 5C 0 0
4 A2 8 5D 80 0
4 A2 1A BB 80 0
C A3 9 B8 80 0
4 A3 8F 4A 80 0
4 A3 B9 39 80 0
4 A5 96 34 0 0
4 A5 BC FB 80 0
4 A5 DA 59 0 0
4 A5 ED B0 0 0
C A6 27 AC 80 0
4 A6 78 DD 0 0
C A6 7C F9 0 0
4 A6 86 76 80 0
4 A6 88 E6 0 0
4 A6 89 43 0 0
C A7 23 24 0 0
4 A7 3C 6D 80 0
4 A7 61 B9 80 0
4 A7 94 61 0 0
4 A8 2C 27 80 0
C A8 40 2E 0 0
C A8 6D 16 80 0
C A8 7A 69 0 0
4 A8 AC E1 0 0
4 AA 45 2A 0 0
4 AA 9A 3E 0 0
C AB B7 53 0 0
C AB CB AD 80 0
4 AC 56 C8 0 0
4 AC B7 CE 80 0
C AC B8 2F 0 0
4 AD 15 A8 0 0
C AD 4E 1 80 0
C AD CB A8 80 0
C AD F6 B7 80 0
C AE 4 A0 80 0
C AE 23 BA 80 0
4 AE 82 EB 80 0
4 AE AC B5 0 0
4 AE DA 28 80 0
4 AE E0 7B 80 0
4 AF 17 D5 80 0
C B0 53 E5 80 0
4 B0 70 AB 0 0
C B0 75 54 80 0
4 B0 B7 D0 0 0
C B0 FA 8A 0 0
C B1 7E 77 0 0
4 B2 2C 28 0 0
C B2 6D 6E 80 0
C B2 ED DD 0 0
4 B3 57 81 80 0
C B3 A0 A5 80 0
C B4 12 73 0 0
4 B4 27 CE 0 0
4 B4 A2 B 80 0
C B4 EA DB 80 0
4 B5 39 6E 80 0
C B5 C0 C2 80 0
C B6 33 D9 80 0
4 B6 D0 49 0 0
4 B7 7 2B 80 0
C B7 49 A4 80 0
C B7 79 3B 0 0
4 B7 8D AE 0 0
4 B7 CB B8 80 0
4 B7 D1 4D 80 0
1C B7 F3 A6 0 0
C B8 CB 68 0 0
4 B8 E1 67 0 0
C B9 36 0 80 0
C B9 88 76 80 0
4 B9 97 B2 80 0
4 B9 AF AD 80 0
C BA B DB 0 0
4 BA 6D AB 80 0
4 BA A5 36 0 0
4 BB 18 29 80 0
4 BB 1D BC 80 0
4 BB 54 D4 0 0
C BB A1 43 80 0
C BC 26 5B 0 0
4 BC E4 EB 80 0
4 BD 14 BE 80 0
4 BD FF 6A 80 0
4 BE 20 55 80 0
C BE B1 AB 0 0
4 BF 3 EB 0 0
4 BF 9C 60 0 0
4 C0 1C 53 0 0
4 C0 FF D1 80 0
4 C2 36 77 0 0
C C2 3F 4 80 0
C C2 82 97 0 0
C C2 8A A7 80 0
4 C3 1E D7 80 0
C C3 D6 8F 80 0
4 C3 E2 B0 0 0
4 C4 BF 6F 80 0
4 C5 A B6 0 0
4 C5 C 1B 80 0
4 C5 48 7B 0 0
4 C5 59 3C 80 0
C C6 1F CE 80 0
4 C6 48 47 0 0
C C6 4A 2 0 0
4 C6 E5 7B 0 0
4 C6 FF 65 0 0
C C7 1 83 80 0
C C7 7 D9 0 0
4 C7 2B 64 80 0
4 C7 46 B2 0 0
4 C7 A5 D8 80 0
C C7 CA B1 80 0
4 C8 E4 48 0 0
4 C8 EC 2 0 0
C C9 95 E 80 0
4 C9 9E 9D 80 0
4 C9 F9 E5 80 0
C CA 3A 10 80 0
C CA 7D 26 80 0
C CA C4 62 80 0
1C CA E2 92 0 0
C CB 2E 72 80 0
4 CB AA 4E 0 0
4 CC 2E 88 0 0
C CC 79 85 80 0
4 CD D9 21 80 0
C CE 8D 43 80 0
C CF 43 77 0 0
4 CF 66 FF 80 0
4 D0 40 AB 0 0
4 D0 7E D8 0 0
4 D0 A7 BA 0 0
4 D1 2F 7D 80 0
4 D2 2C F7 0 0
C D2 7C 8C 0 0
4 D2 8B 61 0 0
C D2 8D 28 0 0
4 D2 DB DB 0 0
4 D3 D 4E 80 0
4 D3 38 BE 0 0
C D3 88 6F 0 0
4 D3 BF 7 80 0
4 D4 5B 30 80 0
4 D4 A7 93 80 0
C D4 B6 98 0 0
4 D4 D9 A6 0 0
4 D5 8 36 0 0
C D5 C5 B6 0 0
C D5 DD 95 0 0
4 D6 4E B5 80 0
4 D7 65 77 0 0
C D7 85 A5 0 0
4 D7 B1 10 0 0
4 D7 FD 20 0 0
4 D8 D5 54 0 0
4 D8 F7 E4 0 0
C DA 3E 9D 80 0
4 DB 82 BB 0 0
4 DB C4 B7 80 0
C DC 44 5A 80 0
C DC 5C 46 0 0
C DC C7 A2 80 0
4 DD 15 39 0 0
4 DD 45 4F 80 0
C DD 4D AF 80 0
4 DD 8A 84 80 0
4 DD 93 B4 80 0
4 DD D1 8E 0 0
C DF BE B3 0 0
C DF C4 45 80 0
4 E0 87 54 0 0
C E0 F3 0 0 0
4 E1 3 97 80 0
1C E1 3B CD 80 0
C E1 51 6C 0 0
C E2 23 CC 80 0
4 E2 41 39 80 0
C E2 6B 9 80 0
4 E3 4 F7 0 0
4 E3 6 3A 0 0
C E3 E3 99 0 0
C E4 7E 70 0 0
C E4 B0 6A 0 0
C E4 B5 44 0 0
C E5 55 0 80 0
C E6 8A 0 0 0
C E6 BF 2D 80 0
C E6 F5 6B 0 0
C E7 5C AE 80 0
4 E7 60 DF 0 0
4 E7 95 E 80 0
4 E7 A7 B0 80 0
4 E8 D5 81 0 0
4 E9 BF 6F 80 0
C E9 EC A3 80 0
4 EA 51 31 0 0
C EC F 69 80 0
4 EC 97 DA 0 0
