E 3F EF 31 80 0
6 40 7F 7E 0 0
6 40 AA 93 0 0
6 41 D7 70 0 0
E 41 F5 F0 0 0
E 42 7D 69 80 0
6 44 11 2D 80 0
6 44 2D 56 80 0
6 44 66 D7 80 0
E 45 54 BD 0 0
6 45 C0 75 0 0
6 45 FF C3 0 0
6 46 E 67 0 0
E 46 34 8B 0 0
E 46 4B 1D 0 0
E 46 9E C 0 0
6 46 D5 EC 0 0
6 47 60 99 80 0
6 47 7E 8F 0 0
E 47 E2 66 80 0
E 47 E9 D8 0 0
E 48 49 AD 0 0
E 48 54 B6 80 0
E 48 5E 7B 0 0
6 48 6B B7 80 0
6 48 FA 27 80 0
E 49 45 A0 80 0
6 49 53 B9 0 0
E 4A 1E F 0 0
6 4B 9 7A 0 0
6 4B 39 9D 80 0
E 4B 98 59 80 0
6 4B F2 B2 0 0
E 4D 23 5A 0 0
6 4D D1 2 80 0
6 4E 1 F1 0 0
6 4E B7 AA 80 0
6 4F 93 F4 80 0
E 50 76 60 0 0
E 50 C8 1F 0 0
E 50 F0 98 80 0
E 51 55 26 80 0
6 51 63 4 80 0
E 51 79 28 0 0
E 51 80 30 0 0
E 51 9A 49 80 0
E 51 B3 AF 0 0
E 51 F3 48 80 0
E 52 15 F4 80 0
6 52 41 94 80 0
6 52 E1 AE 80 0
6 52 F3 31 0 0
6 53 4F BD 80 0
6 53 56 4E 0 0
E 53 5F A3 0 0
E 53 B2 C4 0 0
6 53 F2 8F 0 0
E 54 74 9C 0 0
6 55 1C 1 0 0
6 55 3B 47 80 0
6 55 74 20 80 0
E 55 7E AB 0 0
E 55 99 0 0 0
E 57 3F 79 0 0
6 57 B1 4 80 0
6 58 6E 52 0 0
6 58 BB DC 80 0
6 59 2A B0 80 0
6 59 41 F 80 0
6 5B 2 DD 80 0
6 5B C7 EF 80 0
E 5C C BA 80 0
6 5C 55 84 80 0
6 5C 66 34 80 0
E 5C AD 5E 0 0
E 5C BD D9 80 0
E 5C E4 11 0 0
E 5D 3C 42 0 0
E 5D B4 F 0 0
6 5D FA DC 0 0
E 5F 52 A5 0 0
6 60 95 9D 80 0
6 60 FA 6B 80 0
6 62 64 D5 0 0
6 62 72 63 0 0
6 62 DD FF 80 0
6 63 7C 22 80 0
6 64 C9 0 80 0
6 64 DE 44 0 0
E 65 0 8B 80 0
6 65 E 7F 0 0
6 65 21 9A 80 0
E 65 2C C 0 0
6 65 2C 4B 80 0
6 65 DD D5 0 0
6 66 C E7 80 0
E 66 A0 78 80 0
6 66 D7 AE 80 0
6 66 E3 8 0 0
E 66 F2 26 0 0
6 67 2E 37 80 0
6 67 DB F7 0 0
6 67 FB C0 0 0
6 68 30 61 80 0
E 68 A2 FA 0 0
6 68 E0 46 0 0
6 69 5E D5 80 0
6 69 68 3A 80 0
E 69 7B 28 0 0
6 69 D6 30 0 0
E 69 F3 91 80 0
E 69 FA ED 80 0
6 6A 43 F8 80 0
6 6A BD C8 0 0
6 6B 6 BC 0 0
E 6B 97 84 80 0
E 6D 1A F5 0 0
6 6D 2B DD 80 0
6 6E 99 F3 80 0
6 6E EA 42 80 0
E 6E EE C3 0 0
6 6F E7 A9 0 0
6 70 95 6A 0 0
6 70 FF CB 80 0
E 71 1 E8 80 0
E 71 5 2A 80 0
6 71 20 D0 80 0
6 71 37 1 0 0
E 71 41 47 80 0
6 71 51 D7 0 0
6 71 78 B9 80 0
6 71 EB A0 80 0
