7 9 60 E4 0 0
7 9 ED 6D 80 0
7 A 61 CA 80 0
7 A 9A D 0 0
7 B 2C B7 0 0
F B 65 E9 80 0
F C 44 85 80 0
7 C 77 21 80 0
F D BA CF 80 0
7 D C4 A7 80 0
F E 87 22 80 0
7 F 37 E 80 0
F F 41 8B 0 0
7 F 5C D2 0 0
7 F F7 AD 80 0
7 10 40 91 80 0
7 10 66 F4 80 0
7 10 6D EE 0 0
7 11 C9 1B 0 0
7 11 CD DD 0 0
F 11 D9 70 0 0
F 12 52 F1 0 0
7 12 7F 16 80 0
F 12 82 5B 0 0
7 12 84 99 80 0
7 12 D7 3B 0 0
7 12 E9 A4 80 0
F 13 F0 64 80 0
F 14 2E 13 80 0
F 15 A6 5B 0 0
7 15 B3 46 0 0
7 15 F6 59 0 0
F 16 75 40 0 0
7 16 A8 9E 80 0
7 16 BC 9F 0 0
7 17 46 7 0 0
F 17 E3 8B 80 0
7 18 67 79 0 0
F 18 D3 13 80 0
7 18 FE 5A 0 0
F 19 6F B5 80 0
F 19 B0 C6 0 0
7 1A 47 D9 80 0
F 1A 8C DB 80 0
7 1B 95 BD 80 0
F 1B BC 51 80 0
7 1C DE B1 80 0
F 1D AE B5 0 0
1F 1D DC 7A 0 0
7 1E 44 E 0 0
F 1E 80 FC 0 0
F 1F DF 7 80 0
7 20 2D 3A 0 0
F 20 97 7F 0 0
7 21 46 90 0 0
7 21 9B 7F 0 0
F 22 8 B2 0 0
7 22 17 B5 0 0
7 22 28 EE 0 0
7 22 8B 66 80 0
F 22 ED 53 0 0
7 23 E7 8 80 0
7 24 58 A0 80 0
7 24 A5 13 80 0
7 24 DD 56 0 0
F 25 8 A8 0 0
7 25 47 71 80 0
7 25 FF F1 0 0
7 26 F 49 80 0
1F 26 1C F7 0 0
F 27 0 FF 80 0
7 27 52 A5 80 0
F 27 C0 87 0 0
F 28 6E 93 0 0
F 28 A7 49 80 0
7 28 AE FD 80 0
7 29 3A CB 0 0
7 29 44 4F 0 0
7 29 91 A9 0 0
F 29 E6 79 80 0
7 2A 2E A2 0 0
F 2A 6A 3A 0 0
F 2C 2C 76 80 0
7 2C 36 4F 80 0
7 2D 30 E0 0 0
7 2D 37 29 80 0
F 2E 2C F6 0 0
F 2F 55 8B 80 0
F 2F 5C 47 80 0
7 2F F3 49 80 0
7 31 7 61 80 0
7 32 B1 12 80 0
