5 42 4 36 80 0
5 43 90 F4 0 0
5 43 E1 6D 80 0
5 43 FF 32 80 0
5 44 2B C 80 0
5 44 80 9E 80 0
5 44 F2 27 0 0
5 45 18 6A 80 0
5 45 25 94 80 0
5 45 47 72 80 0
5 45 53 AD 80 0
5 46 18 62 0 0
D 46 9D CA 0 0
D 46 E9 C1 0 0
5 47 5B 31 0 0
5 47 6B 30 80 0
5 49 EE 99 0 0
5 4A 13 AE 80 0
D 4B 1 61 0 0
5 4B 55 0 80 0
5 4B A0 BC 80 0
5 4B B0 E 80 0
5 4B FE AC 80 0
D 4C 28 89 80 0
5 4C 57 1E 80 0
5 4C 99 21 80 0
5 4C E3 55 80 0
D 4D E 11 80 0
5 4D 27 DC 0 0
5 4D 5E 41 0 0
5 4E 3 27 0 0
5 4E C7 7F 0 0
5 4E CC 9C 0 0
5 4F 22 8A 80 0
D 4F 3B 4D 80 0
5 4F CF 52 0 0
D 50 2E A0 80 0
5 50 46 CD 0 0
5 50 E0 52 80 0
5 50 F8 76 0 0
D 52 BF C7 80 0
5 53 87 69 80 0
5 54 7D EF 80 0
5 54 7E 51 0 0
D 54 9C C2 0 0
5 54 D2 58 80 0
5 55 77 32 80 0
D 56 76 ED 80 0
D 56 C6 6F 80 0
D 57 2B 91 0 0
D 57 E5 F8 0 0
5 58 26 9B 80 0
D 58 80 16 0 0
5 58 8D 85 0 0
5 59 25 F8 80 0
5 59 29 D9 0 0
5 59 62 F3 0 0
D 5A 1F 89 80 0
D 5A B9 58 0 0
D 5A E4 3E 80 0
D 5B 3E FA 0 0
5 5B 45 C 0 0
5 5B 4F DA 80 0
5 5B 53 CC 80 0
D 5B 56 66 0 0
D 5B C5 47 80 0
D 5B F0 9F 0 0
5 5C 37 FD 80 0
5 5C 5F 26 0 0
D 5C 8B CA 80 0
5 5D 0 29 0 0
D 5D 39 A1 0 0
5 5D F1 AB 80 0
5 5D FE BA 0 0
5 5E 32 A3 0 0
5 5E 7F 71 80 0
D 5E F6 8 80 0
5 5F 62 DA 0 0
D 5F 72 36 80 0
D 5F BC 5F 0 0
5 5F BF B6 80 0
5 5F FE 46 0 0
5 60 1A 5D 80 0
5 60 C9 4D 0 0
5 61 9 5 0 0
5 61 26 83 80 0
5 61 B3 42 0 0
5 61 CB 4E 0 0
D 62 71 42 80 0
5 62 86 1D 0 0
5 62 D2 8A 0 0
D 63 20 73 0 0
5 63 A7 9 0 0
5 63 CA 84 80 0
D 64 4E 90 80 0
5 64 EF 83 80 0
5 65 21 67 80 0
5 65 6A 6D 0 0
5 65 7A E1 80 0
5 65 A7 D6 0 0
D 66 62 AE 0 0
5 66 F3 34 80 0
5 68 69 0 0 0
5 68 8F AD 80 0
5 69 6 88 80 0
D 6A 55 B0 0 0
5 6B C EE 80 0
5 6B D2 75 80 0
D 6C 2B 84 0 0
1D 6D 3D 67 80 0
D 6D 72 96 0 0
5 6D B2 2A 80 0
5 6E 75 86 80 0
5 6E E9 55 0 0
D 70 23 F0 80 0
5 70 96 E7 80 0
5 71 7 9E 80 0
5 71 7A 6C 80 0
D 71 A0 EC 80 0
D 71 BF 82 80 0
D 71 CD 21 80 0
D 73 3 38 0 0
5 73 9 5E 0 0
5 73 FF D0 0 0
5 74 39 F3 80 0
D 75 14 2 0 0
D 75 91 AE 80 0
5 76 25 B9 0 0
5 76 2B EC 80 0
D 76 49 C5 80 0
D 76 5F FF 0 0
5 76 9B D8 80 0
5 76 A2 FA 0 0
5 77 47 74 80 0
5 77 BD 24 80 0
5 77 EE 3D 80 0
D 78 5A 9A 80 0
5 78 78 50 0 0
D 78 FB 4B 80 0
5 79 CE B 80 0
5 7B 36 F0 80 0
