D 97 85 74 80 0
D 97 A2 FE 80 0
D 97 D3 6B 0 0
5 97 FC AB 0 0
5 98 9 66 0 0
5 98 54 B6 80 0
D 98 5D 1B 0 0
5 98 5D 4C 0 0
D 98 C5 A4 0 0
5 98 FA 89 0 0
5 99 19 B5 80 0
5 99 CF 6D 80 0
5 99 F2 6F 80 0
D 9A 8F 83 80 0
5 9A AD 3D 80 0
D 9B 2C 5E 0 0
D 9B 4E 9B 0 0
5 9B C4 27 0 0
1D 9D 4 4E 80 0
D 9D 67 53 80 0
D 9D B1 25 80 0
D 9D F7 77 80 0
D 9E 49 27 80 0
5 9E 7B 29 0 0
D 9E A3 B8 0 0
D 9E A6 4F 0 0
D 9E F0 78 0 0
D 9F A3 7 80 0
D 9F C7 3 80 0
5 A0 10 4C 80 0
5 A1 5 53 0 0
D A1 6 20 80 0
5 A1 77 9F 0 0
D A1 81 5C 0 0
5 A1 D2 2F 0 0
5 A1 DA A5 0 0
D A1 E9 6F 80 0
D A2 1 C0 80 0
D A2 3E A3 80 0
5 A2 6F 42 0 0
5 A2 A0 41 80 0
D A3 1B 2B 80 0
D A3 D8 3 0 0
5 A4 14 C5 0 0
D A4 1E 1E 80 0
D A4 29 C8 0 0
5 A4 8C 63 80 0
5 A4 9B BC 0 0
5 A5 DF 55 0 0
5 A6 34 2F 80 0
5 A6 8C 2A 0 0
D A7 F 3F 80 0
5 A7 1E 10 80 0
5 A7 5C 63 0 0
D A8 54 7D 0 0
1D A8 9F 5A 0 0
D A8 FA 15 0 0
5 A9 20 A6 80 0
5 A9 67 D8 0 0
D A9 E1 43 0 0
5 AA 1F 8 0 0
D AA 43 D7 80 0
5 AA E2 14 80 0
D AA F2 A7 0 0
5 AB 9C 1B 80 0
5 AB 9E 13 0 0
D AB C2 27 0 0
D AC 4C 46 0 0
D AC A4 3D 80 0
5 AC B4 53 80 0
5 AC B8 CF 0 0
5 AC E9 E5 0 0
D AD 17 B1 0 0
D AD 27 FC 0 0
5 AD 71 3A 0 0
D AD A0 8B 0 0
1D AD A2 6F 80 0
D AE 14 AC 0 0
D AF 8 51 0 0
D AF 55 35 80 0
D AF 9C B6 0 0
D AF D2 45 0 0
5 B0 7 2F 80 0
D B0 48 BB 80 0
5 B1 5B C 0 0
D B2 43 41 80 0
5 B2 65 9D 0 0
5 B2 BF AE 80 0
5 B3 25 45 0 0
D B3 2E 89 0 0
D B3 30 18 0 0
5 B3 7A 77 0 0
D B3 82 3B 0 0
5 B4 D DA 80 0
D B6 1A 98 0 0
D B6 25 A3 80 0
5 B6 61 75 80 0
D B6 C9 64 80 0
D B6 FA DC 0 0
5 B7 1E B4 0 0
5 B7 5B DD 0 0
D B7 EC 1 0 0
5 B8 1B 3D 0 0
D B8 71 F3 80 0
5 B8 F9 6C 80 0
5 B9 23 50 0 0
5 B9 30 80 0 0
5 B9 5E 32 0 0
5 B9 8E 29 80 0
5 BA BC 92 80 0
D BA C2 1F 0 0
D BB 5 5B 80 0
5 BB 29 71 0 0
D BB 2E F9 0 0
5 BB FC AD 80 0
5 BC 8F 8D 0 0
5 BC 99 5A 0 0
5 BC EF A0 80 0
D BD 94 A9 0 0
5 BD BB E 0 0
5 BD D6 41 80 0
D BE 12 DA 0 0
5 BE 32 E7 80 0
5 BE 35 3A 80 0
5 BE C7 3F 80 0
1D BE FB 4C 80 0
5 BF 3 A8 80 0
D BF 1B 67 0 0
5 BF 77 DB 80 0
5 BF 98 30 0 0
D C0 22 45 0 0
5 C1 46 F6 0 0
D C1 4E 83 0 0
5 C1 F7 18 80 0
5 C2 A F8 80 0
D C2 4E F3 0 0
5 C2 AF 62 80 0
D C2 B1 74 80 0
5 C2 C7 57 80 0
D C2 FA 53 80 0
D C3 AF CA 80 0
D C3 B5 C 80 0
5 C3 C8 74 80 0
D C4 85 D3 0 0
5 C4 CE 14 0 0
5 C5 27 5 80 0
5 C5 56 D0 0 0
5 C5 74 3A 0 0
D C6 59 5D 80 0
5 C6 87 B9 80 0
5 C7 43 67 80 0
D C7 AB 6C 80 0
D C7 D4 F0 80 0
5 C8 9A 35 0 0
5 C9 D5 0 0 0
5 CA 56 CD 0 0
D CA 9E 58 0 0
5 CA F1 9E 80 0
5 CC 29 3B 80 0
D CC F5 B9 0 0
5 CD 17 E2 0 0
D CD 27 8B 0 0
D CD 73 13 80 0
D CD 7F D6 0 0
5 CD 82 76 80 0
5 CD 9A D1 80 0
D CE 12 A2 0 0
5 CE 1E 65 0 0
5 CE 24 11 80 0
5 CE A0 9C 0 0
5 CE C2 16 80 0
D CF 29 BA 0 0
5 CF A7 47 80 0
D D1 D8 21 0 0
5 D2 F9 78 0 0
D D3 46 C8 80 0
D D3 A8 8D 80 0
5 D3 AF A1 80 0
5 D3 B7 E9 0 0
D D3 BC 4B 80 0
5 D3 C7 3E 0 0
5 D4 3B 50 80 0
D D5 37 35 80 0
5 D5 5B B5 0 0
5 D6 50 F8 0 0
5 D6 EB 83 80 0
5 D7 A6 28 80 0
5 D8 22 14 80 0
D D8 31 4 80 0
5 D8 45 A6 0 0
5 D9 1E A0 0 0
5 D9 22 EA 0 0
D D9 FB 30 80 0
5 DA 2 58 80 0
5 DB 5 DD 80 0
5 DB 4A DB 0 0
5 DB 74 85 80 0
5 DB 81 3A 80 0
5 DB D0 7B 80 0
5 DB FA E0 80 0
5 DC 63 E8 80 0
5 DC 86 1F 0 0
D DC CC 8F 0 0
1D DD 63 93 80 0
D DD 68 63 0 0
D DD BC 9F 0 0
D DE B7 46 80 0
D DE BD A2 80 0
5 DE E8 1C 80 0
D DF 3B 64 80 0
D DF CA AD 80 0
D E0 22 A2 0 0
D E0 5D 27 0 0
D E0 7C 54 80 0
5 E1 1 A 80 0
D E1 1E EF 0 0
5 E1 31 DB 80 0
5 E1 CC C2 0 0
5 E2 37 2B 80 0
5 E3 2C DD 80 0
D E3 37 19 80 0
D E3 83 CA 0 0
D E3 97 BF 0 0
5 E4 41 4 0 0
5 E4 5B 8C 80 0
5 E4 9C 69 80 0
D E4 C7 3 80 0
D E4 DB 6 80 0
D E6 44 9E 80 0
D E6 D7 29 80 0
5 E6 F6 8B 80 0
5 E7 4F C6 80 0
5 E7 96 83 80 0
D E7 E2 10 80 0
D E8 D8 4C 80 0
5 E9 67 81 80 0
D EA 9F D5 0 0
5 EA D6 55 0 0
5 EB 41 A0 0 0
D EB 4B E5 80 0
D EB 9C 30 0 0
5 EC 9B 94 0 0
5 ED CE 59 0 0
5 ED EF 4E 80 0
D EE 1B 41 80 0
D EE 3C BE 80 0
D EE BB 3E 80 0
5 EF 2A 83 80 0
D EF 52 F9 80 0
5 F0 DE 35 0 0
D F1 0 79 0 0
5 F1 B1 43 0 0
D F1 E0 25 0 0
5 F2 30 D2 80 0
5 F2 FF E7 0 0
5 F3 D FC 0 0
5 F3 E DE 80 0
5 F4 99 1D 0 0
D F5 28 64 0 0
5 F6 29 97 0 0
5 F6 80 E6 80 0
5 F6 9F E1 80 0
D F7 CC 99 80 0
D F8 10 8F 0 0
5 F8 42 D1 0 0
D F8 53 69 80 0
D F8 67 FE 0 0
5 F8 D6 6F 0 0
D F9 54 AB 80 0
5 FA A 63 80 0
5 FA 33 B7 0 0
5 FA 7E 53 80 0
5 FA B2 A9 0 0
5 FB 6F 57 0 0
5 FB A1 74 80 0
D FB BD 80 0 0
5 FC E B 0 0
D FC 1B 5E 80 0
5 FC 25 8 0 0
5 FC 35 DD 0 0
D FC 8D E3 80 0
5 FD 76 3D 0 0
5 FD CD 4 0 0
5 FD FB FA 0 0
D FE 7 76 80 0
5 FE 27 0 80 0
5 FE 2D AC 80 0
5 FE 61 B1 0 0
5 FF 5 AE 0 0
5 FF 4B 48 80 0
5 FF 5A 9C 80 0
5 FF ED 50 0 0
6 0 56 C0 80 0
E 0 95 65 0 0
6 0 FF 37 0 0
6 2 36 B 80 0
6 2 D8 3B 0 0
6 3 A 14 0 0
6 3 43 45 0 0
6 3 56 BE 80 0
E 3 A6 DC 80 0
E 3 A8 C5 0 0
6 4 8A 35 80 0
6 4 B5 13 0 0
E 5 33 E1 80 0
6 6 2E 29 80 0
6 6 CD 8C 80 0
6 8 2F 90 80 0
6 8 D8 21 0 0
6 8 DE 4C 0 0
E 8 F5 58 80 0
6 9 ED 78 0 0
6 B E4 E9 80 0
E C 48 A8 80 0
6 C 5F 4A 80 0
E C 66 60 80 0
E D 49 33 0 0
6 D 79 89 80 0
E D EF 2C 80 0
E E 33 42 0 0
E E 56 BB 80 0
6 E 88 B5 80 0
6 E AD 64 80 0
E E B8 20 80 0
6 10 16 8F 80 0
6 10 CC F0 80 0
6 10 EA 51 80 0
6 11 23 DB 80 0
6 11 3D 18 80 0
6 11 4B 39 80 0
E 11 8C CA 80 0
6 11 A4 FD 80 0
6 12 C7 6C 0 0
6 12 D3 AC 80 0
6 14 B2 E8 0 0
6 14 D2 D7 80 0
6 15 1F 65 80 0
E 15 98 A6 80 0
6 16 1B 4 0 0
6 16 21 84 80 0
E 16 33 87 80 0
E 16 B4 71 80 0
6 16 D5 C7 80 0
E 16 DC 16 0 0
6 17 21 31 80 0
E 17 D7 3A 80 0
6 19 58 51 80 0
6 19 B0 83 0 0
E 1A 8C DF 0 0
E 1B 35 D5 80 0
6 1B 62 B9 0 0
E 1B AB 97 80 0
E 1B AD A4 80 0
E 1C 1B 36 0 0
6 1C 28 4E 0 0
6 1C 42 ED 80 0
6 1C 6E AB 0 0
6 1C C3 EC 0 0
6 1D 25 D6 80 0
E 1D 2B 6E 80 0
E 1D 8C 8F 0 0
6 1E 8F 11 80 0
E 1F 18 B0 80 0
6 1F 21 3A 80 0
E 1F 2F 75 0 0
E 20 6E 7 0 0
E 20 C9 3A 0 0
6 20 F2 97 0 0
6 20 FE 73 80 0
6 22 C F8 0 0
1E 22 60 44 0 0
E 22 6F C8 80 0
6 23 EB 3D 80 0
6 24 19 4D 80 0
E 24 FB 82 80 0
6 25 3 4D 80 0
6 25 12 7C 0 0
E 25 35 2 0 0
6 25 7E 5A 0 0
6 26 79 94 0 0
E 26 E2 49 80 0
6 27 D C8 80 0
6 27 AC 20 0 0
6 29 A3 FC 80 0
6 2A C7 4 80 0
6 2A F9 6 0 0
6 2B 7 7D 0 0
E 2B 7E 88 0 0
E 2B EC 30 0 0
E 2C 51 B 0 0
E 2C 7E 11 80 0
6 2C 80 42 0 0
6 2D 13 22 80 0
6 2D BA 62 80 0
6 2E B2 7A 0 0
E 2E ED 80 80 0
6 2F 91 AB 80 0
E 30 45 2A 0 0
E 30 50 C 0 0
6 30 DA 7B 0 0
6 32 F 3C 0 0
6 33 50 77 80 0
E 33 7B 51 80 0
6 34 62 22 80 0
E 34 9D 91 80 0
6 34 B5 CD 0 0
6 34 C0 8D 0 0
E 35 5E 93 0 0
E 35 8F 36 0 0
6 37 30 1B 80 0
6 37 31 5 0 0
E 37 4D F2 80 0
6 37 97 63 0 0
6 37 C2 F6 80 0
E 37 D6 BA 0 0
6 38 0 BB 80 0
6 38 32 A0 0 0
E 38 8D 92 0 0
6 38 C4 EE 80 0
E 39 56 2F 80 0
E 39 5A EC 80 0
6 3A 10 DD 80 0
E 3A D3 3F 0 0
E 3B 59 C2 0 0
6 3B CC E7 0 0
6 3B FC AD 80 0
6 3C 38 6C 80 0
6 3C 60 C1 0 0
6 3D 63 2F 80 0
6 3D A4 BF 80 0
6 3D FA BE 80 0
6 3E 29 17 80 0
E 3E 41 5E 80 0
6 3E EF 20 0 0
E 3F 4A 54 80 0
6 3F CF 8E 80 0
6 40 11 B2 80 0
6 40 8B E 0 0
