5 56 C7 EB 80 0
D 56 CD DA 0 0
5 57 38 C0 0 0
5 57 76 D0 0 0
D 57 A7 38 80 0
D 57 DA E0 80 0
5 57 F2 1D 80 0
5 58 13 DF 0 0
5 58 2A 81 80 0
5 58 9D 22 0 0
D 59 1C A7 0 0
1D 59 5F 10 0 0
5 59 78 9 0 0
5 59 B6 E0 80 0
5 59 ED 30 0 0
D 5A 1 A 0 0
5 5B A 34 0 0
5 5B 4C 33 80 0
D 5B FB EC 80 0
5 5C D5 F2 0 0
5 5D 6 73 0 0
5 5D 7E 8 0 0
5 5D CA C6 0 0
D 5E 31 EB 0 0
5 5E 7A 8E 80 0
D 5E 83 27 0 0
5 5F 63 F7 80 0
D 5F 82 F 80 0
5 5F EB 61 80 0
5 60 1F 8D 0 0
D 60 75 C3 80 0
5 60 7C 73 80 0
D 61 17 36 0 0
5 61 6F C3 80 0
D 62 26 6A 80 0
D 62 43 26 0 0
5 62 61 9F 0 0
5 63 EF 99 80 0
5 64 3B 5E 80 0
D 64 84 49 0 0
D 65 F F9 0 0
D 65 18 93 0 0
D 65 21 FE 80 0
5 65 3B CA 0 0
D 66 57 C1 80 0
1D 66 59 56 80 0
D 66 73 CC 80 0
D 67 57 58 80 0
5 67 E5 B 0 0
5 67 F0 68 80 0
5 69 4 D0 0 0
5 69 98 9C 0 0
5 69 C3 73 0 0
D 69 DA B6 80 0
5 6A 3C C4 0 0
D 6A 3D 26 80 0
5 6A A2 74 80 0
5 6B 2 80 80 0
D 6B 57 F7 80 0
D 6B 71 C3 0 0
5 6B E6 CE 80 0
5 6C FF 27 0 0
D 6D 27 1F 0 0
D 6D 4D 4E 0 0
5 6D 59 A1 80 0
D 6D B4 32 0 0
5 6F F8 1A 0 0
5 70 3F 77 80 0
5 70 6C 6A 80 0
5 70 94 33 0 0
D 71 73 D4 80 0
5 73 7 16 0 0
D 75 4 FA 0 0
D 75 C4 75 0 0
5 75 E0 C7 80 0
5 76 27 4B 80 0
D 76 9F 5 80 0
5 76 EB 49 0 0
5 77 C0 F3 80 0
D 77 CD ED 80 0
5 77 E8 8 80 0
D 78 9 B 80 0
5 78 CA D 80 0
5 78 CD FE 80 0
5 78 EC 8 80 0
D 78 F8 13 80 0
5 79 19 C4 0 0
5 79 3F 38 80 0
5 79 52 10 0 0
5 7A D6 5D 0 0
5 7B 76 FF 80 0
5 7B 82 35 0 0
5 7B B8 86 0 0
5 7C 1B AF 80 0
5 7C 67 45 80 0
D 7C 94 C1 80 0
5 7C 9F 2F 80 0
5 7D 36 37 0 0
5 7D 5E 27 80 0
5 7D 6B 19 0 0
5 7D FC F3 0 0
5 7E 62 3 80 0
5 7E AD 72 80 0
5 7F 5 18 80 0
D 7F 14 F9 80 0
D 7F FC 2D 0 0
5 80 DB B3 0 0
D 81 1E 65 80 0
5 81 B7 A3 0 0
5 82 5A D2 80 0
D 82 DF A4 0 0
5 83 A6 91 80 0
D 83 C4 6F 80 0
D 85 20 6 80 0
5 85 2D 2 80 0
5 86 14 BA 80 0
5 86 D4 29 0 0
5 88 75 9C 80 0
5 88 97 38 80 0
D 88 AC 86 0 0
5 88 B9 35 0 0
5 88 BE DD 80 0
5 88 D8 A9 80 0
D 88 EC 9 80 0
D 89 43 64 0 0
5 8A 0 FC 0 0
5 8A 5C CE 80 0
5 8B C8 1A 0 0
5 8C 82 A2 80 0
D 8C E0 BD 0 0
5 8C EE B3 0 0
D 8D 3F 0 0 0
5 8D C2 60 80 0
D 8E D E1 80 0
5 8E 30 5F 0 0
5 8E 55 28 0 0
5 8E B2 9B 80 0
5 8E B6 FD 0 0
5 8E C2 BB 80 0
5 8E EA AE 80 0
D 8F 62 FD 0 0
5 8F 9D 63 0 0
5 8F F1 42 80 0
D 90 AE 5D 0 0
5 91 70 77 0 0
D 92 90 2 0 0
D 92 D9 B0 80 0
5 93 BB EF 80 0
5 94 1D 74 80 0
D 94 CA FF 80 0
5 95 66 F9 0 0
D 95 74 2F 80 0
5 95 96 F7 80 0
5 96 E B1 80 0
5 96 62 91 0 0
5 97 1A DF 0 0
5 97 3A 2B 0 0
5 97 88 D1 80 0
5 98 35 6A 80 0
D 98 4D 2F 80 0
D 98 79 20 0 0
5 99 3 84 0 0
5 99 4B 2D 80 0
5 99 7F 99 0 0
D 9A 8E D3 80 0
5 9A EF 41 0 0
5 9C 4 85 0 0
5 9C 41 11 0 0
5 9C 8D E0 80 0
D 9C 9A C0 80 0
5 9C A9 66 80 0
D 9D 6D 51 0 0
D 9F 9A D7 80 0
5 9F C2 D1 80 0
5 A0 FF F6 0 0
5 A1 A0 85 80 0
5 A1 AB 28 80 0
D A2 98 44 0 0
D A2 C3 D3 0 0
D A2 CD 24 80 0
5 A3 3C 91 80 0
D A4 15 B1 80 0
D A4 B5 26 0 0
D A5 7B A9 0 0
D A5 DA 6A 0 0
D A6 56 3D 0 0
D A6 5D F1 0 0
5 A6 61 F0 0 0
5 A6 69 C1 80 0
D A7 7D D8 80 0
D A7 99 66 80 0
5 A7 B1 89 80 0
D A7 FA 6D 80 0
5 A8 35 13 80 0
D A9 6C F5 80 0
5 A9 B1 D3 0 0
5 A9 F7 19 80 0
5 AA 6A 1D 80 0
5 AA A4 5F 80 0
5 AB C 6D 80 0
D AB 33 71 80 0
5 AB EC 68 0 0
D AB FE FF 0 0
D AC 11 10 80 0
5 AC 12 F5 80 0
D AC 37 41 80 0
D AE 39 DE 0 0
D AE 75 5D 80 0
5 AE 78 C 0 0
5 AE F2 6 80 0
5 AF 9 48 80 0
D AF 76 6B 0 0
5 AF AE F8 80 0
5 AF E0 4F 0 0
5 B0 43 AD 80 0
5 B0 90 9E 0 0
D B0 AE 4B 80 0
D B2 6E 88 0 0
5 B2 8B 31 80 0
D B2 F5 A8 0 0
D B3 1A 35 0 0
D B3 36 BB 0 0
D B3 CA 86 80 0
D B3 D2 5F 0 0
5 B4 1E A3 0 0
D B4 32 C7 0 0
5 B4 A8 94 80 0
D B5 3C 67 80 0
5 B5 72 A9 0 0
5 B5 EA EF 0 0
5 B6 44 41 80 0
D B6 A1 C7 80 0
D B6 ED CA 80 0
5 B7 1B DE 0 0
5 B7 32 E8 0 0
D B7 76 17 0 0
5 B8 73 59 0 0
5 BA 5E 44 80 0
5 BA B4 A1 80 0
5 BA C8 3B 0 0
5 BB C3 E5 80 0
5 BB E9 F5 0 0
D BC 41 7E 0 0
D BC 6C 74 0 0
5 BC AD B8 80 0
5 BC AE F4 0 0
5 BC F5 F4 80 0
D BC FB 44 80 0
D BD 9A A8 0 0
5 BE 10 3A 0 0
5 BE F3 B2 0 0
5 BF 4F 2 80 0
D BF 5B 9 0 0
5 BF 95 E0 80 0
5 C0 52 64 0 0
5 C2 6 9C 0 0
D C2 30 7F 80 0
5 C2 5C B5 80 0
D C2 ED CE 0 0
5 C3 7E 59 80 0
D C4 55 E3 80 0
D C4 CC 81 80 0
5 C5 71 80 0 0
5 C5 A2 E8 0 0
5 C5 B1 B6 0 0
5 C5 B9 27 0 0
5 C5 D3 1 80 0
5 C6 34 68 0 0
D C6 8D 97 80 0
5 C6 8D E4 80 0
D C6 B1 44 0 0
5 C6 BE EC 0 0
5 C7 2 29 0 0
5 C7 D2 37 80 0
5 C7 F0 45 80 0
5 C7 F0 8A 80 0
D C9 33 C0 0 0
5 C9 62 66 0 0
5 C9 95 96 0 0
5 CA 7B 2E 80 0
D CA CF D8 80 0
D CA EF CC 0 0
D CA F2 1C 0 0
5 CB B4 87 0 0
5 CB D5 D5 80 0
5 CC 69 51 0 0
D CC AF 2E 0 0
5 CC F0 AD 0 0
5 CD 41 E9 80 0
D CD C3 99 0 0
5 CD FC D8 80 0
D CE 38 D1 0 0
5 CF 3D 80 80 0
5 CF 8B D6 80 0
D D0 DD 38 80 0
5 D1 5B 46 80 0
D D1 87 23 80 0
5 D1 F7 1F 80 0
5 D2 52 A1 80 0
D D2 78 78 0 0
5 D2 DE 8F 80 0
D D3 3E 4F 0 0
D D3 62 F 0 0
D D3 6E A8 0 0
5 D4 AE 47 0 0
5 D5 20 F8 80 0
5 D5 6D 65 0 0
5 D5 85 A1 0 0
5 D5 CE 74 0 0
D D6 F2 1E 0 0
5 D7 73 28 0 0
5 D7 A5 23 0 0
5 D8 6E 6C 80 0
5 D8 6E F5 0 0
5 D9 74 ED 80 0
D DA 5F 50 80 0
5 DA 6E 14 0 0
5 DB 1F A2 0 0
D DB 87 FD 0 0
5 DC 2A AB 0 0
D DD 2B E6 80 0
5 DD 3E 95 0 0
D DD BD 2B 0 0
D DD F0 49 80 0
5 DE 0 E9 0 0
5 DE D F2 80 0
5 DE 2F B4 0 0
D DE AB 90 0 0
5 DF 6C CA 0 0
D E0 B5 22 0 0
D E0 B9 A6 0 0
D E0 C5 2D 80 0
D E1 7 52 80 0
5 E1 E7 49 0 0
D E1 E9 C3 0 0
D E1 F7 A9 80 0
5 E2 D3 3B 80 0
D E2 F0 11 0 0
5 E3 20 C4 80 0
5 E3 9B 1F 0 0
5 E3 D9 65 80 0
D E3 E0 44 0 0
5 E5 26 C2 80 0
5 E5 E3 A3 0 0
5 E6 93 62 80 0
5 E6 AC 9B 80 0
D E6 FD 1F 80 0
5 E7 2 3A 80 0
5 E7 E 3F 0 0
5 E8 25 49 80 0
5 E8 4E A8 80 0
5 E9 2F 5E 80 0
D E9 65 CF 0 0
5 E9 CE E6 0 0
5 E9 D2 DC 0 0
D EA F B 80 0
5 EA 5A 8A 80 0
5 EA B3 35 0 0
D EA DB AB 0 0
5 EB 23 ED 0 0
5 EB 41 F2 0 0
D EB C6 69 0 0
5 EC 11 5C 0 0
D EC FC 77 0 0
5 EC FE D5 0 0
5 ED 44 9 80 0
5 ED FA 9C 80 0
D EE 77 8 0 0
5 EE CD 28 0 0
D EF 9 5B 80 0
5 EF 5B DD 0 0
5 EF BB 10 80 0
D EF C1 C5 80 0
D F1 C0 0 0 0
5 F2 B6 1F 0 0
5 F2 F7 61 80 0
D F3 57 76 80 0
D F4 5E 83 0 0
5 F4 A2 87 80 0
D F4 CE AE 80 0
5 F4 D7 32 80 0
5 F5 A7 7 80 0
D F5 A8 E7 0 0
D F5 E0 DF 80 0
D F5 E4 B4 0 0
D F6 17 C8 0 0
5 F6 A2 DC 0 0
D F7 13 2B 0 0
5 F8 3D 5E 0 0
D F8 64 C8 0 0
D F8 CB 66 0 0
5 F9 7 3 80 0
D F9 38 40 0 0
D F9 A9 F9 0 0
5 F9 FB 5E 0 0
D FA AC 7D 0 0
D FB 1E 16 0 0
5 FB BB B1 80 0
D FB C3 68 80 0
5 FB FA 58 80 0
D FC 61 C4 80 0
5 FC F9 A1 80 0
5 FE C8 44 0 0
D FF 4D A2 80 0
D FF 6C F5 80 0
5 FF E4 D3 80 0
E 1 0 88 80 0
6 1 C9 E2 0 0
6 2 7F 96 80 0
6 2 B8 AB 80 0
6 3 E 95 80 0
E 3 22 25 0 0
6 3 66 93 80 0
E 3 67 26 0 0
E 3 86 D2 80 0
6 4 AA D3 80 0
E 4 E1 8 0 0
E 5 32 72 80 0
E 5 88 14 0 0
6 5 E5 DC 0 0
E 6 22 71 0 0
E 6 5B D8 0 0
6 6 65 51 80 0
E 7 0 54 0 0
6 7 7D 4C 0 0
6 7 95 B4 80 0
6 7 F0 5D 0 0
E 7 F1 99 0 0
6 8 1E D0 80 0
E 8 21 3D 80 0
6 8 97 BE 80 0
E 9 22 96 80 0
E 9 62 95 80 0
E A 38 D2 80 0
6 A 50 46 0 0
6 A F2 DE 0 0
6 B E3 22 0 0
6 B F4 C5 0 0
6 C 7A 6F 0 0
E D 61 D1 0 0
E D 8C C2 80 0
E D 93 7A 80 0
E D D1 DB 0 0
6 E 10 47 80 0
E F 8F E3 80 0
6 12 71 99 0 0
6 12 92 7D 0 0
6 12 E7 9F 0 0
E 13 2F F0 80 0
6 13 A2 3B 0 0
E 14 84 2F 80 0
6 14 BD D4 80 0
6 14 E3 F0 0 0
6 14 E5 F5 0 0
6 15 B0 B1 80 0
6 16 A 77 0 0
6 16 B A5 80 0
6 16 C 8E 80 0
6 16 1B 6E 80 0
1E 16 4F C0 0 0
E 16 67 A1 80 0
E 17 6E 24 0 0
E 17 C3 6 0 0
6 18 36 D6 80 0
E 18 43 32 80 0
E 19 77 C1 80 0
