7 B6 67 8F 0 0
7 B6 BF C1 0 0
7 B7 E E6 80 0
7 B7 4D 60 0 0
7 B7 D2 12 0 0
7 B9 21 2D 80 0
7 B9 2C 94 0 0
7 B9 3C EB 80 0
F BA 8B 8D 0 0
F BB 57 D1 80 0
7 BB 5B A8 80 0
F BC AE 39 80 0
F BC F3 12 0 0
7 BC FC 6B 0 0
7 BE 4A C4 80 0
F BE 5E 48 80 0
7 BE 9D 94 80 0
7 BE DE 34 0 0
F BF E 73 80 0
F BF 12 34 80 0
7 BF AC 9E 80 0
7 C1 0 2B 0 0
F C1 29 FE 80 0
7 C1 6B 74 80 0
7 C1 C3 54 80 0
F C2 4D 3E 80 0
F C2 79 BE 80 0
7 C2 B3 B8 0 0
7 C2 DE 3 0 0
7 C3 60 58 0 0
7 C3 BD 5 0 0
F C3 BF C2 0 0
7 C3 CB 7C 0 0
F C5 22 44 80 0
7 C5 A3 38 80 0
7 C5 AF 1A 0 0
7 C6 6C 71 80 0
F C6 80 4E 0 0
F C7 50 F4 80 0
7 C7 82 2C 0 0
7 C7 CC DA 0 0
F C8 93 1C 0 0
7 C8 A4 B0 80 0
F C8 C9 2C 80 0
F CA 47 EA 0 0
7 CA 4A 52 80 0
F CA 6F 37 80 0
7 CA 71 74 0 0
7 CA B4 B8 0 0
F CA BF 55 80 0
F CC E 97 80 0
1F CD 6C 6E 0 0
F CE 3F F9 0 0
F CF 54 78 80 0
7 CF 9F 58 80 0
F CF A2 7E 80 0
7 CF F0 58 0 0
7 D0 F8 3D 0 0
7 D1 12 94 80 0
7 D2 45 55 80 0
7 D2 C3 AC 0 0
7 D2 CC 4B 0 0
7 D4 92 3A 80 0
7 D4 A8 7F 0 0
7 D4 DA 64 0 0
7 D5 48 A4 0 0
F D5 D7 E6 80 0
F D5 E3 A0 0 0
F D7 51 BA 80 0
7 D7 AA DD 0 0
7 D7 B5 27 0 0
7 D9 65 A1 80 0
7 D9 92 3F 0 0
7 D9 E5 55 0 0
F DA 74 42 0 0
F DA AF BF 80 0
7 DB FD 5E 80 0
7 DC 12 9D 0 0
7 DE 7 77 80 0
1F DE 3E 6B 80 0
F DE 58 B7 0 0
F DE BC 2 0 0
7 DE D8 49 80 0
7 DF F 5C 80 0
7 DF 46 85 80 0
F DF 4B 96 80 0
7 DF 6A A6 80 0
7 DF FB F9 80 0
7 E0 4D CF 0 0
F E0 50 C 0 0
7 E0 5B 44 0 0
7 E0 96 D3 0 0
F E0 E7 BF 80 0
F E1 B 86 0 0
7 E2 B6 FF 0 0
7 E2 DB EA 80 0
7 E3 68 4F 80 0
F E4 2F 97 80 0
7 E4 41 3F 0 0
F E4 6C 6C 0 0
7 E4 B8 5 80 0
F E4 D5 A 80 0
F E5 A0 C8 80 0
7 E5 B2 62 0 0
F E6 1F 2F 0 0
F E7 58 75 80 0
F E7 CB B4 80 0
7 E8 32 DF 80 0
F E8 E7 12 80 0
F E9 C 5F 80 0
7 E9 F 2F 0 0
F E9 66 E2 80 0
7 EA 5E 26 80 0
7 EA 9A 72 0 0
7 EA BB 7B 0 0
7 EA FA D9 80 0
7 EB 5D 44 80 0
7 EB A5 A 80 0
F EB EE D3 80 0
7 EB F9 1B 80 0
7 EC 13 64 0 0
F EC 2C C9 80 0
F EC D4 76 0 0
F EC E8 C3 0 0
F ED 47 85 80 0
F EE D9 AD 0 0
F EE EC 33 80 0
7 EF 8A 68 80 0
F F0 D4 DF 80 0
F F1 E F8 80 0
7 F1 1B 4F 80 0
7 F1 8C 3A 0 0
7 F2 28 42 80 0
7 F2 47 F7 80 0
7 F2 4C 6 0 0
7 F3 85 D0 0 0
7 F4 6 56 80 0
7 F4 2C 1D 80 0
7 F5 C7 85 80 0
7 F6 66 2C 80 0
F F6 9C FC 80 0
F F7 6B 4E 0 0
F F7 86 11 80 0
F F7 A0 B4 80 0
7 F7 F0 F8 80 0
7 F8 88 32 0 0
7 F8 89 3D 0 0
F FA 69 7E 0 0
F FB 5B AD 80 0
7 FB 6C EE 0 0
F FB AA A1 80 0
F FB FD 68 80 0
F FC 25 8B 80 0
F FC AE 8D 0 0
7 FC F0 10 80 0
F FD 66 24 0 0
7 FD F0 F 80 0
7 FE D8 53 80 0
7 FE FE 55 0 0
57 FF FF FE 80 0
4 0 A1 22 0 0
C 0 D3 A1 0 0
4 1 46 B9 80 0
C 2 38 8F 80 0
4 2 3D 70 80 0
4 2 90 C3 0 0
C 3 11 A3 80 0
C 3 42 2D 80 0
4 3 56 DF 0 0
4 3 C3 C3 80 0
4 3 F0 81 0 0
4 4 A9 1A 80 0
C 4 BF 7C 0 0
C 5 59 6D 80 0
4 5 8B 17 0 0
4 6 1D 55 80 0
4 6 5D 7D 0 0
4 6 A1 C2 80 0
C 6 CB 66 0 0
4 6 E4 43 0 0
4 6 E9 B5 0 0
4 6 EF AC 80 0
4 7 0 D3 0 0
4 7 7 1E 80 0
4 7 5E BE 80 0
4 7 64 20 80 0
C 7 67 17 80 0
4 7 6D 2B 80 0
C 8 36 AB 80 0
4 8 A0 3A 0 0
4 8 DE 80 80 0
C 8 E6 96 0 0
4 8 FA 5D 80 0
C 9 2D 92 80 0
4 A 23 CA 0 0
4 A 8D 35 80 0
4 A D2 36 80 0
4 A D2 63 80 0
4 A D5 B 0 0
4 A EE CA 0 0
C B 2E C4 0 0
4 B 30 66 80 0
4 B E7 8D 0 0
C C 45 6D 0 0
4 C 8C 9 0 0
C D CB 3 80 0
4 E 2 DC 0 0
C F 1B 96 0 0
4 F 60 6D 80 0
C F F8 87 0 0
4 10 F 79 80 0
C 10 CF D6 80 0
4 10 DE 87 0 0
4 12 41 4E 0 0
4 13 44 6C 80 0
4 13 81 F3 0 0
C 13 B6 5 0 0
4 14 68 A5 0 0
C 14 89 60 0 0
1C 14 D2 53 80 0
C 14 D9 A2 0 0
C 15 33 89 80 0
4 15 74 2A 80 0
4 16 38 58 0 0
4 16 85 CA 80 0
4 16 C0 D1 0 0
4 17 14 13 0 0
4 17 5A 3C 80 0
4 18 B A0 80 0
4 18 37 8E 0 0
C 18 4C 4B 0 0
4 18 63 D7 0 0
4 18 C7 9C 80 0
4 18 D0 78 0 0
4 19 3C D0 0 0
4 19 9C 20 0 0
4 19 D1 D1 0 0
4 1B 4C 35 0 0
C 1B 79 34 0 0
C 1B C0 F8 80 0
4 1C 13 AC 80 0
C 1C D2 BC 80 0
4 1D 18 1C 80 0
4 1D 68 F5 80 0
C 1D AA EF 0 0
4 1E 35 CB 0 0
C 1E 47 D9 0 0
C 1F 6B 97 80 0
C 1F 86 80 80 0
4 21 18 31 0 0
C 21 47 B9 80 0
C 22 76 4 0 0
4 22 BE 44 0 0
4 22 C7 CF 0 0
4 22 DA D3 80 0
4 22 EC A5 0 0
4 23 15 66 80 0
4 23 31 34 0 0
4 23 47 F7 80 0
4 23 68 29 80 0
4 23 A5 70 80 0
