F DC AA 3B 80 0
7 DD ED 63 0 0
7 DE 25 9A 80 0
7 DE 6F C5 80 0
F DE CA 5 0 0
F DE D8 FB 80 0
F DF 16 D5 0 0
F DF 30 C2 0 0
7 DF 70 76 0 0
7 DF 77 94 0 0
F E0 9E BE 0 0
F E0 CF 17 80 0
7 E1 7 DA 80 0
7 E1 17 29 80 0
F E1 D5 57 80 0
7 E2 38 C2 0 0
F E2 63 82 80 0
F E3 31 E2 0 0
F E3 48 BE 0 0
F E4 9 1D 0 0
7 E4 9 53 0 0
7 E4 25 2 0 0
7 E4 2E 37 80 0
F E4 63 54 80 0
7 E4 E1 C9 0 0
F E6 1E 75 80 0
7 E7 24 74 80 0
F E7 6E B1 80 0
7 E7 92 27 80 0
7 E7 B7 B9 0 0
1F E7 FD 5A 0 0
F E8 AA 27 80 0
7 E9 50 60 0 0
F E9 CE 78 0 0
7 EA AF 0 80 0
F EC 6 AD 0 0
7 EC 9 A8 80 0
F EC DB 1A 80 0
F EC F2 2C 0 0
F ED 1F F 80 0
7 ED 43 79 80 0
F ED 5D 40 0 0
7 ED C7 0 0 0
7 EE 3E 67 80 0
F EE 67 CC 0 0
F EE B2 F1 0 0
7 EF 3F 3 80 0
F EF A9 66 80 0
F EF C0 AE 80 0
F F0 2 1B 80 0
F F0 6A DE 0 0
F F0 BE 94 0 0
7 F0 CA C4 0 0
F F1 24 A5 0 0
F F2 55 A7 80 0
7 F2 A6 7E 80 0
F F2 C7 55 0 0
F F3 24 C 0 0
7 F3 4B 6F 80 0
7 F3 E7 FC 80 0
7 F4 4C 1B 80 0
7 F4 C1 F4 0 0
7 F4 ED 54 0 0
7 F5 68 88 80 0
F F5 F0 A1 80 0
F F6 77 C6 80 0
7 F6 E5 AB 80 0
7 F7 DE B5 80 0
1F F8 1C C8 0 0
F F8 9C BC 80 0
7 F8 A0 A7 80 0
7 F8 B7 2C 0 0
7 F9 F BA 80 0
F F9 44 3F 0 0
F F9 68 C9 0 0
7 F9 77 9E 80 0
7 F9 F6 E7 80 0
F FA B7 AF 0 0
7 FB E D4 0 0
7 FB 10 FD 80 0
F FB 21 9D 80 0
F FB B4 4 0 0
F FC 41 D2 0 0
7 FC 47 34 0 0
7 FC CD 94 0 0
7 FD 1E 9 0 0
F FD 7B 48 80 0
7 FE C8 31 80 0
7 FF 4A AD 0 0
7 FF F6 F2 80 0
57 FF FF FE 80 0
4 0 6B 8B 80 0
4 1 26 E6 80 0
C 1 48 1C 0 0
4 2 89 FD 80 0
4 2 8C 7 80 0
4 2 BA 2D 80 0
C 3 6B 6D 80 0
4 3 AA FC 0 0
4 3 B0 80 80 0
4 3 B4 57 80 0
4 3 DA 2E 80 0
C 4 7C AF 80 0
4 5 15 85 80 0
4 5 9C E4 80 0
4 5 F1 A9 0 0
4 6 84 59 0 0
4 6 EF CF 0 0
4 7 F4 72 0 0
C 7 FC C 0 0
4 8 42 B2 80 0
4 8 C4 30 0 0
C 9 73 72 80 0
4 9 C4 90 0 0
C A 14 7D 80 0
C A 21 26 80 0
4 A 52 9E 80 0
4 B AB 7F 0 0
4 C 7 C0 0 0
4 C F 9 0 0
C C 66 D8 80 0
4 C 86 1E 0 0
4 D 3C 35 80 0
4 D 4A FC 0 0
4 E 7 10 0 0
4 E 30 D2 80 0
4 E 36 7F 80 0
C E 87 2A 0 0
4 E 9B E6 80 0
C E 9F 1E 80 0
4 F 3C C5 80 0
4 F 7D EC 80 0
C F B5 1C 80 0
C F D9 F 0 0
C 11 6F CF 80 0
4 11 78 24 80 0
C 11 94 C2 80 0
4 11 98 6A 80 0
4 12 41 43 0 0
4 12 B4 AB 0 0
C 13 B8 C4 0 0
C 14 3 3C 0 0
C 14 DA C0 0 0
4 14 E8 A4 80 0
C 15 2B D7 0 0
4 15 36 DE 80 0
C 15 97 E 80 0
4 16 33 4B 80 0
4 16 9C BD 80 0
4 16 D9 7F 80 0
C 16 F2 BB 0 0
C 16 F4 FF 0 0
C 17 45 89 80 0
C 17 53 F7 80 0
4 17 58 3C 0 0
C 17 60 9B 80 0
C 17 6F 94 0 0
4 17 EC E7 0 0
4 18 B0 5 0 0
4 19 1F F1 80 0
4 19 4B 2C 80 0
C 1A 4A 56 80 0
4 1B A5 F9 0 0
4 1B F1 17 80 0
4 1C BF 34 0 0
4 1C C3 9F 0 0
4 1D 40 B6 80 0
4 1D 53 90 80 0
4 1D A5 7F 80 0
4 1D AD 40 80 0
4 1E 49 83 80 0
4 1E A2 BB 80 0
4 20 15 2C 0 0
C 20 26 6E 80 0
C 20 A8 D8 80 0
4 20 B5 1 80 0
4 20 E2 73 0 0
4 21 52 5B 80 0
4 21 6D FD 80 0
C 21 EF 76 0 0
4 22 10 DA 80 0
C 22 19 ED 0 0
4 22 24 47 80 0
4 22 B1 6D 80 0
4 23 1 1C 80 0
4 23 32 4E 80 0
4 23 33 8F 80 0
C 23 3A 79 0 0
C 23 A3 DC 0 0
4 24 13 3A 0 0
4 24 4A D4 80 0
4 24 7F C2 0 0
C 25 10 CE 0 0
C 26 E A2 80 0
4 26 37 BC 80 0
4 26 81 DB 0 0
4 26 C4 17 80 0
C 26 E5 85 80 0
C 27 37 D 80 0
4 27 58 E 80 0
4 27 91 87 0 0
4 27 99 3E 80 0
C 28 83 D8 0 0
4 28 EE 16 80 0
4 29 3C 7D 0 0
C 29 69 8F 0 0
4 29 91 64 80 0
4 29 95 9F 80 0
4 29 C6 A9 0 0
C 29 D9 8 0 0
C 2A 65 D6 0 0
4 2B F AA 0 0
C 2B FC C1 80 0
C 2C 6A B2 80 0
4 2C C1 44 0 0
4 2D 4E AD 0 0
4 2D 70 37 0 0
C 2D 76 4B 0 0
C 2D CD 51 80 0
4 2E 1D 61 0 0
C 2E 24 48 80 0
C 2E 74 F4 0 0
4 2E 8A A2 0 0
C 2E A4 3 80 0
4 2E BD 86 0 0
C 2F 37 64 80 0
C 2F 45 49 0 0
C 2F F4 B1 0 0
C 30 1F 4C 80 0
4 30 30 CD 0 0
4 30 B6 25 0 0
4 31 C 8A 0 0
C 31 7B 63 80 0
4 31 A3 BD 80 0
4 32 6D 47 0 0
C 32 7B 78 0 0
C 32 81 41 0 0
C 32 E7 49 80 0
4 32 EE A4 0 0
4 33 17 55 0 0
4 33 39 2 80 0
4 34 33 E7 0 0
C 34 4E 4A 0 0
C 34 93 1C 80 0
4 34 B6 4B 80 0
4 34 FF 2D 80 0
C 36 2B 99 0 0
C 37 5C CA 80 0
C 37 D3 5C 0 0
C 37 E9 4A 80 0
4 38 B 9F 0 0
4 38 BC 3B 80 0
4 39 55 63 0 0
C 3A 16 F 0 0
C 3A B9 F0 80 0
4 3A BA CA 0 0
4 3B 6 E5 0 0
C 3B 86 6B 0 0
4 3B DC C 80 0
C 3C C2 76 80 0
4 3C D5 EA 80 0
4 3C DE C5 80 0
