5 EA 3F B5 80 0
5 EB 63 14 0 0
5 ED 57 49 80 0
D EE A 7A 0 0
D EF 8E 59 80 0
5 EF 94 ED 0 0
D EF AD E8 0 0
5 EF E3 BC 80 0
5 F0 6 26 80 0
5 F0 1A E 0 0
D F0 65 B9 80 0
D F0 7D 81 80 0
D F0 85 D4 80 0
D F0 AB 32 0 0
D F0 EB 6E 0 0
5 F1 1 23 80 0
5 F1 9F 23 0 0
5 F1 DE B1 0 0
D F1 EB 32 0 0
5 F2 BB C8 0 0
D F2 EE B9 0 0
D F3 45 7B 80 0
5 F3 55 81 0 0
5 F3 5A 76 0 0
5 F3 87 27 0 0
5 F3 B2 77 0 0
5 F3 FB 6B 0 0
D F5 1A E 80 0
5 F5 1F E7 0 0
1D F5 2C D5 80 0
D F6 54 F9 80 0
D F6 68 33 80 0
5 F6 CA E2 80 0
D F6 CC DF 0 0
D F6 DF E0 80 0
5 F8 13 FE 0 0
D F8 7C 76 80 0
D F9 BE 4F 0 0
5 F9 C5 FA 80 0
5 FA 43 79 0 0
5 FA D7 C8 80 0
D FA F5 B7 80 0
5 FB 2B 92 0 0
D FB 4C CB 80 0
D FB 54 38 0 0
D FB 99 CA 0 0
D FB A8 6C 0 0
5 FB B4 3D 80 0
D FC AE B1 0 0
5 FC E6 FE 80 0
D FC F2 F9 80 0
5 FC FD 56 0 0
5 FD 72 D6 0 0
5 FD AC 30 0 0
5 FD F4 1 0 0
5 FE 3 3 80 0
D FE AE C8 80 0
D FF 17 8F 0 0
D FF C5 3D 80 0
5 FF F5 E 0 0
6 2 58 E7 80 0
6 3 3D 65 80 0
6 4 4A 3A 80 0
6 4 58 2C 0 0
E 4 C0 5D 80 0
E 4 C3 99 80 0
E 4 D0 7 80 0
6 4 ED 10 0 0
6 5 BA 3E 0 0
6 6 79 65 80 0
6 6 C2 A5 80 0
E 7 7 1B 80 0
E 7 54 CD 0 0
6 7 83 34 80 0
6 7 DB AF 80 0
E 7 DF 7D 80 0
E 8 B4 9A 80 0
6 8 ED 99 0 0
6 9 65 3A 0 0
E 9 AC 5F 0 0
E A 0 12 80 0
6 A 21 3E 0 0
6 A 75 59 0 0
E A BF E7 0 0
6 B 22 D7 0 0
E B 27 6E 80 0
6 B F8 9F 0 0
6 C 22 EB 80 0
6 C 89 96 0 0
6 D F3 E5 0 0
E E 90 C7 80 0
6 E A7 9 0 0
E E D4 F0 0 0
6 F B9 3C 0 0
6 F DE BC 80 0
6 10 5 9 0 0
6 10 28 1D 0 0
6 10 77 29 0 0
6 10 AD ED 0 0
6 10 C5 1C 80 0
6 10 F4 9E 0 0
6 11 5A 88 0 0
6 11 B5 1F 0 0
E 11 D6 8A 0 0
6 11 E3 17 0 0
6 12 A9 D6 0 0
6 12 D2 A5 80 0
E 13 7C 4 0 0
E 13 F4 6C 0 0
6 13 F9 71 80 0
6 14 29 CE 0 0
6 15 80 3D 0 0
6 15 CA F1 80 0
6 16 14 C4 80 0
E 16 4A 28 80 0
E 16 51 B0 0 0
E 17 49 26 0 0
6 17 51 CF 0 0
6 17 AF C3 80 0
6 18 3B 61 0 0
6 18 51 C1 0 0
E 18 5E 5D 80 0
E 18 85 A5 0 0
E 18 D0 2F 0 0
6 18 F0 A8 0 0
6 1A 5F 5E 80 0
E 1A BF C6 80 0
E 1B C7 74 80 0
6 1B D5 1A 0 0
6 1C 2F 41 80 0
6 1C 66 41 0 0
6 1C 9E FD 80 0
6 1C BC 5C 0 0
E 1C DA 10 80 0
E 1C E3 D1 0 0
6 1D 12 9C 80 0
6 1D 2D AC 80 0
E 1D B5 FD 0 0
E 1D C1 BD 80 0
6 1D CC 36 80 0
6 1D F4 5E 0 0
6 1E 50 FE 0 0
6 1E 6D 58 0 0
6 1F 6B 1F 0 0
6 1F A5 E8 0 0
E 20 26 B3 80 0
6 20 29 F8 0 0
E 21 C2 12 0 0
6 21 C6 BA 80 0
E 22 78 CC 0 0
6 22 B8 B4 0 0
E 24 43 A0 0 0
6 25 EB C2 80 0
